"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\AudioSystem\AudioRegistrant.cs", "C#", 11, 0, 1, 12
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\AudioSystem\AudioSysManager.cs", "C#", 304, 30, 40, 374
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\CameraEffects.cs", "C#", 77, 24, 17, 118
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\CustomCursor.cs", "C#", 43, 1, 4, 48
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\DestoryOnEnd.cs", "C#", 10, 0, 2, 12
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\Attraction_Field.cs", "C#", 21, 0, 3, 24
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E0\E0Attack.cs", "C#", 51, 6, 7, 64
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E0\Enemy0.cs", "C#", 216, 19, 20, 255
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E1\E1_Attack.cs", "C#", 51, 6, 7, 64
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E1\Enemy1.cs", "C#", 181, 4, 32, 217
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E2\E2AttackRange.cs", "C#", 51, 6, 7, 64
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E2\Enemy2.cs", "C#", 229, 34, 27, 290
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E3\Enemy3.cs", "C#", 247, 22, 35, 304
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E3\Enemy3Bullet.cs", "C#", 80, 12, 16, 108
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E4\Enemy4.cs", "C#", 219, 28, 25, 272
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E5\Enemy5.cs", "C#", 293, 29, 35, 357
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E5\Enemy5Attack.cs", "C#", 13, 0, 2, 15
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E5\FlyingSword.cs", "C#", 115, 3, 20, 138
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E8\E8_ATKrange.cs", "C#", 26, 3, 4, 33
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E8\E8_Bullet.cs", "C#", 80, 12, 16, 108
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\E8\Enemy8.cs", "C#", 263, 12, 19, 294
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\Enemy.cs", "C#", 31, 3, 4, 38
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Enemy\EnemyNav.cs", "C#", 441, 32, 71, 544
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\FinishingChair.cs", "C#", 60, 7, 13, 80
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\GlobalTimer.cs", "C#", 34, 0, 3, 37
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Globals.cs", "C#", 411, 20, 62, 493
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\HitEnemyEvent.cs", "C#", 14, 2, 3, 19
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\InteractableGrids\Bar.cs", "C#", 26, 2, 4, 32
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\InteractableGrids\InteractableGrids.cs", "C#", 218, 13, 32, 263
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\AdditionalAttack\HumanArms\ArmAttackRange.cs", "C#", 18, 0, 3, 21
"c:\Users\2020m\Desktop\ZombieRush\Assets\Script\Items\AdditionalAttack\HumanArms\HumanArms.cs", "C#", 67, 4, 3, 74
